videoId,text,likeCount,published,text_raw,text_clean,is_question,question_category,question_confidence,llm_error,classification_source,result_origin
oHLCAyjxywA,@01:34 맑음님 이름은 지훈,1,2026-08-11 14:50:51+00:00,@01:34 맑음님 이름은 지훈,맑음님 이름은 지훈,False,해당없음,1.0,,,legacy_checkpoint
mQo4xmzyIgY,​@잼이매번 감사합니다😊,0,2026-08-11 13:39:13+00:00,​@잼이매번 감사합니다😊,감사합니다,,,,,,
mQo4xmzyIgY,"접수했습니다, 다음 영상으로 준비해볼게여!",0,2026-08-11 13:36:20+00:00,"접수했습니다, 다음 영상으로 준비해볼게여!",접수했습니다 다음 영상으로 준비해볼게여,,,,,,
mQo4xmzyIgY,@잼이노고에 항상 감사드립니다,0,2026-08-11 12:49:04+00:00,@잼이노고에 항상 감사드립니다,항상 감사드립니다,,,,,,
mQo4xmzyIgY,"접수했습니다, 준비해서 가져올게여!",0,2026-08-11 12:46:35+00:00,"접수했습니다, 준비해서 가져올게여!",접수했습니다 준비해서 가져올게여,,,,,,
mQo4xmzyIgY,"와 20년 만의 복귀라니 정말 환영해여, 즐겁게 게임하세영!",1,2026-08-11 12:46:30+00:00,"와 20년 만의 복귀라니 정말 환영해여, 즐겁게 게임하세영!",와 20년 만의 복귀라니 정말 환영해여 즐겁게 게임하세영,,,,,,
mQo4xmzyIgY,챌린저 하셧으면 이제 이지 대적자는 잡았나여 하드 세렌이랑 잡았으면 이지 카링을 목표로 해보세여 근데 이지카링은 천천히 하시면 되세여 🎉,0,2026-08-11 12:46:24+00:00,챌린저 하셧으면 이제 이지 대적자는 잡았나여 하드 세렌이랑 잡았으면 이지 카링을 목표로 해보세여 근데 이지카링은 천천히 하시면 되세여 🎉,챌린저 하셧으면 이제 이지 대적자는 잡았나여 하드 세렌이랑 잡았으면 이지 카링을 목표로 해보세여 근데 이지카링은 천천히 하시면 되세여,,,,,,
oHLCAyjxywA,또 나만 안뜨지 에픽빔…,0,2026-08-11 12:22:17+00:00,또 나만 안뜨지 에픽빔…,또 나만 안뜨지 에픽빔,False,해당없음,1.0,,,legacy_checkpoint
mQo4xmzyIgY,"​@잼이사냥 1시간해도 겨우
몆천만메소 벌던데요..",0,2026-08-11 11:58:58+00:00,"​@잼이사냥 1시간해도 겨우
몆천만메소 벌던데요..",1시간해도 겨우 몆천만메소 벌던데요,,,,,,
mQo4xmzyIgY,접수완료!,0,2026-08-11 11:58:31+00:00,접수완료!,접수완료,,,,,,
mQo4xmzyIgY,https://youtu.be/W9N7ghOa6RE?si=B3BPxOapZ6yPNQks,1,2026-08-11 11:56:44+00:00,https://youtu.be/W9N7ghOa6RE?si=B3BPxOapZ6yPNQks,https youtu be W9N7ghOa6RE?si B3BPxOapZ6yPNQks,,,,,,
mQo4xmzyIgY,​@유채영-t6s 어떻게 공짜죠..?,0,2026-08-11 11:56:40+00:00,​@유채영-t6s 어떻게 공짜죠..?,어떻게 공짜죠 ?,,,,,,
mQo4xmzyIgY,옛설!,0,2026-08-11 11:56:18+00:00,옛설!,옛설,,,,,,
mQo4xmzyIgY,아니여 보조무기만 사면 돼서 굳이 돈 안써도 돼여 검밑솔에 메이린만 해도 매주 돈 많이 모이고 솔 야누스 30레벨에 사냥만 해도 좋아여,0,2026-08-11 11:56:11+00:00,아니여 보조무기만 사면 돼서 굳이 돈 안써도 돼여 검밑솔에 메이린만 해도 매주 돈 많이 모이고 솔 야누스 30레벨에 사냥만 해도 좋아여,아니여 보조무기만 사면 돼서 굳이 돈 안써도 돼여 검밑솔에 메이린만 해도 매주 돈 많이 모이고 솔 야누스 30레벨에 사냥만 해도 좋아여,,,,,,
oHLCAyjxywA,맑음님은 몇채널인지 공개하라 공개하라 !!!,2,2026-08-11 11:49:27+00:00,맑음님은 몇채널인지 공개하라 공개하라 !!!,맑음님은 몇채널인지 공개하라 공개하라,True,기타,0.8,,,legacy_checkpoint
mQo4xmzyIgY,메린이도 1억까지는 공짜로 가요..,1,2026-08-11 11:34:22+00:00,메린이도 1억까지는 공짜로 가요..,메린이도 1억까지는 공짜로 가요,,,,,,
oHLCAyjxywA,브금이 너무 큰거같은데 나만 그런가..,0,2026-08-11 11:21:59+00:00,브금이 너무 큰거같은데 나만 그런가..,브금이 너무 큰거같은데 나만 그런가,True,시스템,0.95,,,legacy_checkpoint
6nCTgra84_8,벨로나 소울 기대된다,0,2026-08-11 10:40:31+00:00,벨로나 소울 기대된다,벨로나 소울 기대된다,False,해당없음,1.0,,,legacy_checkpoint
mQo4xmzyIgY,진짜 저도 꾸준함덕에 지금은 데티카링 앞두고있는데.. 너무 어렵네요..😅,0,2026-08-11 10:33:43+00:00,진짜 저도 꾸준함덕에 지금은 데티카링 앞두고있는데.. 너무 어렵네요..😅,진짜 저도 꾸준함덕에 지금은 데티카링 앞두고있는데 너무 어렵네요,,,,,,
mQo4xmzyIgY,"진짜 꾸준함이 제일 중요하더라구여, 좋은 말씀 감사해여!",0,2026-08-11 10:29:14+00:00,"진짜 꾸준함이 제일 중요하더라구여, 좋은 말씀 감사해여!",진짜 꾸준함이 제일 중요하더라구여 좋은 말씀 감사해여,,,,,,
mQo4xmzyIgY,@잼이답변 감사합니다 얼른 렙업해서 하드 데미안 해봐야겠네요!!,1,2026-08-11 10:12:43+00:00,@잼이답변 감사합니다 얼른 렙업해서 하드 데미안 해봐야겠네요!!,감사합니다 얼른 렙업해서 하드 데미안 해봐야겠네요,,,,,,
mQo4xmzyIgY,아니영 11월까지 유지돼영 그래서 리프전에 전부 22성 찍고 가라는거에ㅎㅎ 좋은 하루되세요!,0,2026-08-11 10:12:15+00:00,아니영 11월까지 유지돼영 그래서 리프전에 전부 22성 찍고 가라는거에ㅎㅎ 좋은 하루되세요!,아니영 11월까지 유지돼영 그래서 리프전에 전부 22성 찍고 가라는거에ㅎㅎ 좋은 하루되세요,,,,,,
mQo4xmzyIgY,마도서 미트라 거공 몽환의 벨트 정도가 아마도 괜찮을거에여 여명이나 다른데 겹치는데가 없어서여,1,2026-08-11 10:10:47+00:00,마도서 미트라 거공 몽환의 벨트 정도가 아마도 괜찮을거에여 여명이나 다른데 겹치는데가 없어서여,마도서 미트라 거공 몽환의 벨트 정도가 아마도 괜찮을거에여 여명이나 다른데 겹치는데가 없어서여,,,,,,
mQo4xmzyIgY,오늘 기준이영,1,2026-08-11 10:10:11+00:00,오늘 기준이영,오늘 기준이영,,,,,,
mQo4xmzyIgY,아니에여,0,2026-08-11 10:09:46+00:00,아니에여,아니에여,,,,,,
6nCTgra84_8,라방일정은 어떻게 아나요?,0,2026-08-11 10:04:09+00:00,라방일정은 어떻게 아나요?,라방일정은 어떻게 아나요?,True,기타,1.0,,,legacy_checkpoint
oHLCAyjxywA,림보 발드가 칠흑 꿀통이네,0,2026-08-11 08:47:12+00:00,림보 발드가 칠흑 꿀통이네,림보 발드가 칠흑 꿀통이네,False,해당없음,0.95,,,legacy_checkpoint
oHLCAyjxywA,부거줄,0,2026-08-11 08:11:33+00:00,부거줄,부거줄,False,해당없음,1.0,,,legacy_checkpoint
oHLCAyjxywA,내가잡는 림흉발은 노멀인가? 진짜 에픽빔 절대없던데 여긴 무슨 매주뜨네,0,2026-08-11 07:56:06+00:00,내가잡는 림흉발은 노멀인가? 진짜 에픽빔 절대없던데 여긴 무슨 매주뜨네,내가잡는 림흉발은 노멀인가? 진짜 에픽빔 절대없던데 여긴 무슨 매주뜨네,True,보스,0.95,,,legacy_checkpoint
oHLCAyjxywA,맑음님 정도 스팩 이면 상위 10위권 되나? 퍼클 에도 여러번 이름 올리니까,0,2026-08-11 07:45:21+00:00,맑음님 정도 스팩 이면 상위 10위권 되나? 퍼클 에도 여러번 이름 올리니까,맑음님 정도 스팩 이면 상위 10위권 되나? 퍼클 에도 여러번 이름 올리니까,True,스펙업,0.9,,,legacy_checkpoint
oHLCAyjxywA,다음 신규 보스 추가되면 수익 어떨지 궁금하네요!,0,2026-08-11 07:09:52+00:00,다음 신규 보스 추가되면 수익 어떨지 궁금하네요!,다음 신규 보스 추가되면 수익 어떨지 궁금하네요,True,보스,0.95,,,legacy_checkpoint
oHLCAyjxywA,다음주 벨로나인데 상위권 유저분들은 보스 잡을때 듄더진 라인에서 하나 버려야 할거같긴 한데 말이죠 참,3,2026-08-11 07:09:15+00:00,다음주 벨로나인데 상위권 유저분들은 보스 잡을때 듄더진 라인에서 하나 버려야 할거같긴 한데 말이죠 참,다음주 벨로나인데 상위권 유저분들은 보스 잡을때 듄더진 라인에서 하나 버려야 할거같긴 한데 말이죠 참,False,해당없음,0.95,,,legacy_checkpoint
9saj1Kg7S1I,3300도 메린이 기준이고 2000만 후반에도 잡힘,0,2026-08-11 06:57:58+00:00,3300도 메린이 기준이고 2000만 후반에도 잡힘,3300도 메린이 기준이고 200만 후반에도 잡힘,,,,,,
oHLCAyjxywA,달에 약 240만원정도 벌기 위해 총 큰 거 몇장정도 썼을려나 궁금하다,1,2026-08-11 06:47:48+00:00,달에 약 240만원정도 벌기 위해 총 큰 거 몇장정도 썼을려나 궁금하다,달에 약 240만원정도 벌기 위해 총 큰 거 몇장정도 썼을려나 궁금하다,,,,,,legacy_invalidated
oHLCAyjxywA,와 나 노말메이린에서 칠흑상자떳는데 확률 극악이엇구나ㅋㅋㅋ,0,2026-08-11 06:11:53+00:00,와 나 노말메이린에서 칠흑상자떳는데 확률 극악이엇구나ㅋㅋㅋ,와 나 노말메이린에서 칠흑상자떳는데 확률 극악이엇구나ㅋㅋ,False,해당없음,1.0,,,legacy_checkpoint
oHLCAyjxywA,근데 1주차 결정이 196억인데 칠흑이랑 이거저거 합쳐서 204억인건가여..?,0,2026-08-11 05:18:43+00:00,근데 1주차 결정이 196억인데 칠흑이랑 이거저거 합쳐서 204억인건가여..?,근데 1주차 결정이 196억인데 칠흑이랑 이거저거 합쳐서 204억인건가여 ?,True,보스,0.95,,,legacy_checkpoint
oHLCAyjxywA,에픽빔 ㅈㄴ 잘뜨네,0,2026-08-11 05:18:34+00:00,에픽빔 ㅈㄴ 잘뜨네,에픽빔 ㅈㄴ 잘뜨네,False,해당없음,1.0,,,legacy_checkpoint
oHLCAyjxywA,보스로만 번거지요? ㄷㄷ,0,2026-08-11 05:14:23+00:00,보스로만 번거지요? ㄷㄷ,보스로만 번거지요? ㄷㄷ,True,보스,0.9,,,legacy_checkpoint
oHLCAyjxywA,1133억을 현실돈으로 치면 230만원이 넘네요 최저시급보다 더 높네요,1,2026-08-11 05:09:42+00:00,1133억을 현실돈으로 치면 230만원이 넘네요 최저시급보다 더 높네요,1133억을 현실돈으로 치면 230만원이 넘네요 최저시급보다 더 높네요,False,해당없음,1.0,,,legacy_checkpoint
oHLCAyjxywA,굳굳 1빠 잘보고있습니당,0,2026-08-11 05:06:59+00:00,굳굳 1빠 잘보고있습니당,굳굳 1빠 잘보고있습니당,False,해당없음,1.0,,,legacy_checkpoint
j__MUJTquJw,1:59,0,2026-08-11 02:59:41+00:00,1:59,1 59,False,해당없음,1.0,,,legacy_checkpoint
f3DLA1EU8vw,10:24,0,2026-08-11 02:24:38+00:00,10:24,10 24,False,해당없음,1.0,,,legacy_checkpoint
6nCTgra84_8,노래부르는건 굳이 안넣어도되는데... 다른 정보유튜버로 갈아타야겠다,0,2026-08-11 02:05:15+00:00,노래부르는건 굳이 안넣어도되는데... 다른 정보유튜버로 갈아타야겠다,노래부르는건 굳이 안넣어도되는데 다른 정보유튜버로 갈아타야겠다,False,해당없음,1.0,,,legacy_checkpoint
9saj1Kg7S1I,3300정도면 메이린 쌉가능,0,2026-08-10 11:15:45+00:00,3300정도면 메이린 쌉가능,3300정도면 메이린 쌉가능,,,,,,
9mbc6ESMMvo,카오스 1-1을 진입하니 방향이 잡혀서 울티마스쿼드를 더 즐길수가 있게 되었네요. 영상이 도움이 됩니다.,0,2026-08-10 10:53:14+00:00,카오스 1-1을 진입하니 방향이 잡혀서 울티마스쿼드를 더 즐길수가 있게 되었네요. 영상이 도움이 됩니다.,카오스 1 1을 진입하니 방향이 잡혀서 울티마스쿼드를 더 즐길수가 있게 되었네요 영상이 도움이 됩니다,False,해당없음,1.0,,,legacy_checkpoint
6nCTgra84_8,벨로나 장패드 굿즈 쿠션 존버중.,0,2026-08-10 10:34:51+00:00,벨로나 장패드 굿즈 쿠션 존버중.,벨로나 장패드 굿즈 쿠션 존버중,False,해당없음,1.0,,,legacy_checkpoint
9mbc6ESMMvo,스쿼드 계산기 사이트 이제 카오스 1-2 이후로 입력이 안되던데 저만 그런가요,0,2026-08-10 10:28:29+00:00,스쿼드 계산기 사이트 이제 카오스 1-2 이후로 입력이 안되던데 저만 그런가요,스쿼드 계산기 사이트 이제 카오스 1 2 이후로 입력이 안되던데 저만 그런가요,True,시스템,0.95,,gemini,legacy_checkpoint
xLPWWv_-gwI,미쵸땅 이거 보고 바로 깸,0,2026-08-10 08:11:59+00:00,미쵸땅 이거 보고 바로 깸,미쵸땅 이거 보고 바로 깸,False,해당없음,1.0,,gemini,legacy_checkpoint
6nCTgra84_8,이번 달 라방도 반응 궁금한 메숭이들은 개추~,2,2026-08-10 06:20:39+00:00,이번 달 라방도 반응 궁금한 메숭이들은 개추~,이번 달 라방도 반응 궁금한 메숭이들은 개추,False,해당없음,1.0,,,legacy_checkpoint
6nCTgra84_8,오홍 여름아부탁해가아니라 잔테제군요,0,2026-08-10 06:02:01+00:00,오홍 여름아부탁해가아니라 잔테제군요,오홍 여름아부탁해가아니라 잔테제군요,False,해당없음,1.0,,,legacy_checkpoint
GeniNYE0V5M,감사합니다,0,2026-08-09 23:50:48+00:00,감사합니다,감사합니다,,,,,,
6nCTgra84_8,초창기 카링급이라는... 네....,0,2026-08-09 23:32:38+00:00,초창기 카링급이라는... 네....,초창기 카링급이라는 네,False,해당없음,0.95,,,legacy_checkpoint
6nCTgra84_8,이번 업데이트때 결정석 너프도 같이 올것같은데,0,2026-08-09 23:27:12+00:00,이번 업데이트때 결정석 너프도 같이 올것같은데,이번 업데이트때 결정석 너프도 같이 올것같은데,True,이벤트,0.8,,,legacy_checkpoint
6nCTgra84_8,오늘은 앞쪽이 피아노 브금 머야!!,0,2026-08-09 22:57:10+00:00,오늘은 앞쪽이 피아노 브금 머야!!,오늘은 앞쪽이 피아노 브금 머야,True,기타,0.95,,,legacy_checkpoint
6nCTgra84_8,"뭣 이지카링도 못깼는데 그이상이라고?
허",1,2026-08-09 22:52:10+00:00,"뭣 이지카링도 못깼는데 그이상이라고?
허",뭣 이지카링도 못깼는데 그이상이라고? 허,False,해당없음,0.95,,,legacy_checkpoint
6nCTgra84_8,생각해보니 거공노작값 유지잘될듯 벨로나 가면 더스크빼야하는데 예전 하데미안 빠지고 마깃안 가격 급등한것마냥 거공은 원래비싸니 오르진않겠지만 지금보다 떨어지긴힘든구조가 되겠네,0,2026-08-09 21:07:39+00:00,생각해보니 거공노작값 유지잘될듯 벨로나 가면 더스크빼야하는데 예전 하데미안 빠지고 마깃안 가격 급등한것마냥 거공은 원래비싸니 오르진않겠지만 지금보다 떨어지긴힘든구조가 되겠네,생각해보니 거공노작값 유지잘될듯 벨로나 가면 더스크빼야하는데 예전 하데미안 빠지고 마깃안 가격 급등한것마냥 거공은 원래비싸니 오르진않겠지만 지금보다 떨어지긴힘든구조가 되겠네,False,해당없음,1.0,,,legacy_checkpoint
6nCTgra84_8,모멘텀 패스 2차 있지않나,0,2026-08-09 17:44:19+00:00,모멘텀 패스 2차 있지않나,모멘텀 패스 2차 있지않나,True,이벤트,0.95,,,legacy_checkpoint
6nCTgra84_8,이제 카엔슬을 놓아줘야겠다 잘가라,0,2026-08-09 17:20:24+00:00,이제 카엔슬을 놓아줘야겠다 잘가라,이제 카엔슬을 놓아줘야겠다 잘가라,False,해당없음,1.0,,,legacy_checkpoint
9saj1Kg7S1I,아니여 지금 이벤트 조아서 챌섭 다이아 목표로 해도 괜찮아여 한달 넘게 남아서요,0,2026-08-09 13:58:03+00:00,아니여 지금 이벤트 조아서 챌섭 다이아 목표로 해도 괜찮아여 한달 넘게 남아서요,아니여 지금 이벤트 조아서 챌섭 다이아 목표로 해도 괜찮아여 한달 넘게 남아서요,,,,,,
1ArZ9wfeyqA,@잼이계속해도 안되길래 그냥 나와서 5차전직했는데 괜찮은건가요?,0,2026-08-09 12:51:46+00:00,@잼이계속해도 안되길래 그냥 나와서 5차전직했는데 괜찮은건가요?,안되길래 그냥 나와서 5차전직했는데 괜찮은건가요?,,,,,,
6nCTgra84_8,"확실한건 메이플에 꼴잘알 디자이너가 있다는점임
신규로 나오는거 다 꼴잘알임",2,2026-08-09 12:23:38+00:00,"확실한건 메이플에 꼴잘알 디자이너가 있다는점임
신규로 나오는거 다 꼴잘알임",확실한건 메이플에 꼴잘알 디자이너가 있다는점임 신규로 나오는거 다 꼴잘알임,False,해당없음,1.0,,,legacy_checkpoint
9saj1Kg7S1I,노말 메이린 공략 https://youtu.be/ZTUaiFCG4h8,0,2026-08-09 11:03:23+00:00,노말 메이린 공략 https://youtu.be/ZTUaiFCG4h8,노말 메이린 공략 https youtu be ZTUaiFCG4h8,,,,,,
9saj1Kg7S1I,아이템 버닝 미션만 깨시고 해방은 천천히 해보세요  시간이 많이 남아있어여 진힐라는 진짜 패턴만 알면 돼서 연습만이 답이에여..,0,2026-08-09 10:39:16+00:00,아이템 버닝 미션만 깨시고 해방은 천천히 해보세요  시간이 많이 남아있어여 진힐라는 진짜 패턴만 알면 돼서 연습만이 답이에여..,아이템 버닝 미션만 깨시고 해방은 천천히 해보세요 시간이 많이 남아있어여 진힐라는 진짜 패턴만 알면 돼서 연습만이 답이에여,,,,,,
1ArZ9wfeyqA,그거 슈피겔만 아저씨랑 대화하면 방무 줄여줘서 금방 깨여 아니면 슈피겔만 아저씨랑 대화해보세여,0,2026-08-09 10:38:12+00:00,그거 슈피겔만 아저씨랑 대화하면 방무 줄여줘서 금방 깨여 아니면 슈피겔만 아저씨랑 대화해보세여,그거 슈피겔만 아저씨랑 대화하면 방무 줄여줘서 금방 깨여 아니면 슈피겔만 아저씨랑 대화해보세여,,,,,,
9saj1Kg7S1I,힘내세여 시간 있으니까 충분히 잘될거에여,0,2026-08-09 10:37:37+00:00,힘내세여 시간 있으니까 충분히 잘될거에여,힘내세여 시간 있으니까 충분히 잘될거에여,,,,,,
6nCTgra84_8,브금 아시는 분? 설명란에 써주면 참 좋을텐데 매번 물어보게 만드네..,0,2026-08-09 10:19:59+00:00,브금 아시는 분? 설명란에 써주면 참 좋을텐데 매번 물어보게 만드네..,브금 아시는 분? 설명란에 써주면 참 좋을텐데 매번 물어보게 만드네,True,기타,0.95,,,legacy_checkpoint
6nCTgra84_8,광기의 레프사도 벨로나ㄷㄷㄷ,0,2026-08-09 10:14:05+00:00,광기의 레프사도 벨로나ㄷㄷㄷ,광기의 레프사도 벨로나ㄷㄷ,False,해당없음,1.0,,,legacy_checkpoint
6nCTgra84_8,"글러트니라고 대충 애니나 게임 좋아하는 사람은 느낌올거임

양날도끼에 입모양, 피 장신구를 봤을때
롤 브라이어가 떠오름
피흡이나 체력 억제 등 본인 회복과 유저의 HP에 관여가 있을거라 생각함 (가엔슬이 있어서 후자가 좀더 신박함)

그리고 머리카락은 흑백이라 모드가 있을거같지만 그냥 컨셉인거같고 도끼가 불타는게 있는데 이게 옛날 딜중지(공격반사)타이밍이 생긴거라고 봄
보통 공격반사는 발록이나 핑크빈,아카이럼, 힐라가 나름 이름 날리던 보스일 시절 머리위에 공격반사 표시 뜨는건데 개인적으로 이런게 부족해졌나? 싶음
본인이 메린이라 그란디스상위보스 잘 몰라서 그러는데 공격하면 안된다라는 매커니즘은 루타비스 삐에로가 마지막인것같음

그래서 결론 : HP본인 혹은 유저관여랑 공격중지 정도 예상",0,2026-08-09 08:19:22+00:00,"글러트니라고 대충 애니나 게임 좋아하는 사람은 느낌올거임

양날도끼에 입모양, 피 장신구를 봤을때
롤 브라이어가 떠오름
피흡이나 체력 억제 등 본인 회복과 유저의 HP에 관여가 있을거라 생각함 (가엔슬이 있어서 후자가 좀더 신박함)

그리고 머리카락은 흑백이라 모드가 있을거같지만 그냥 컨셉인거같고 도끼가 불타는게 있는데 이게 옛날 딜중지(공격반사)타이밍이 생긴거라고 봄
보통 공격반사는 발록이나 핑크빈,아카이럼, 힐라가 나름 이름 날리던 보스일 시절 머리위에 공격반사 표시 뜨는건데 개인적으로 이런게 부족해졌나? 싶음
본인이 메린이라 그란디스상위보스 잘 몰라서 그러는데 공격하면 안된다라는 매커니즘은 루타비스 삐에로가 마지막인것같음

그래서 결론 : HP본인 혹은 유저관여랑 공격중지 정도 예상",글러트니라고 대충 애니나 게임 좋아하는 사람은 느낌올거임 양날도끼에 입모양 피 장신구를 봤을때 롤 브라이어가 떠오름 피흡이나 체력 억제 등 본인 회복과 유저의 HP에 관여가 있을거라 생각함 가엔슬이 있어서 후자가 좀더 신박함 그리고 머리카락은 흑백이라 모드가 있을거같지만 그냥 컨셉인거같고 도끼가 불타는게 있는데 이게 옛날 딜중지 공격반사 타이밍이 생긴거라고 봄 보통 공격반사는 발록이나 핑크빈 아카이럼 힐라가 나름 이름 날리던 보스일 시절 머리위에 공격반사 표시 뜨는건데 개인적으로 이런게 부족해졌나? 싶음 본인이 메린이라 그란디스상위보스 잘 몰라서 그러는데 공격하면 안된다라는 매커니즘은 루타비스 삐에로가 마지막인것같음 그래서 결론 HP본인 혹은 유저관여랑 공격중지 정도 예상,False,해당없음,1.0,,,legacy_checkpoint
6nCTgra84_8,벨로나 지리네 ㄷㄷ,1,2026-08-09 07:52:00+00:00,벨로나 지리네 ㄷㄷ,벨로나 지리네 ㄷㄷ,False,해당없음,1.0,,,legacy_checkpoint
6nCTgra84_8,이지는 조각 안주고 노말부터 장신망 조각줄듯,2,2026-08-09 07:45:12+00:00,이지는 조각 안주고 노말부터 장신망 조각줄듯,이지는 조각 안주고 노말부터 장신망 조각줄듯,False,해당없음,0.95,,,legacy_checkpoint
6nCTgra84_8,벨로나 기대된다,0,2026-08-09 06:46:11+00:00,벨로나 기대된다,벨로나 기대된다,False,해당없음,1.0,,gemini,legacy_checkpoint
6nCTgra84_8,"나한테는 이세계 이야기..
벨로나 생긴게 
어떤 애니에서 등장하는
누군가와 꼭 닮았는데 그게 누군지...;;
어두컴컴한 벽장에 틀어박혀서
외부와 단절한체 조용히 콩나물이나
재배하고 있을듯하게 생겼는데...
아!! 누구더라!!!!!",1,2026-08-09 06:38:39+00:00,"나한테는 이세계 이야기..
벨로나 생긴게 
어떤 애니에서 등장하는
누군가와 꼭 닮았는데 그게 누군지...;;
어두컴컴한 벽장에 틀어박혀서
외부와 단절한체 조용히 콩나물이나
재배하고 있을듯하게 생겼는데...
아!! 누구더라!!!!!",나한테는 이세계 이야기 벨로나 생긴게 어떤 애니에서 등장하는 누군가와 꼭 닮았는데 그게 누군지 어두컴컴한 벽장에 틀어박혀서 외부와 단절한체 조용히 콩나물이나 재배하고 있을듯하게 생겼는데 아 누구더라,True,기타,0.9,,gemini,legacy_checkpoint
6nCTgra84_8,마깃안 대체품도 풀리는데 확률좀 높여다오,4,2026-08-09 06:23:44+00:00,마깃안 대체품도 풀리는데 확률좀 높여다오,마깃안 대체품도 풀리는데 확률좀 높여다오,False,해당없음,1.0,,,legacy_checkpoint
9saj1Kg7S1I,​@잼이감사합니다! 한가지 궁금한게 지금은 제네시스 패스를 구매하기는 좀 늦었죠..?,0,2026-08-09 06:22:13+00:00,​@잼이감사합니다! 한가지 궁금한게 지금은 제네시스 패스를 구매하기는 좀 늦었죠..?,한가지 궁금한게 지금은 제네시스 패스를 구매하기는 좀 늦었죠 ?,,,,,,
