category,title,created_at,views,likes,content,comment_count,title_clean,content_clean,analysis_text,has_question_signal,is_question,tokens,is_new_returning
기타,챌섭 지금 시점에서 뉴비가 검마 2~3인트라이하려면 어떤구인방법이 있을까요,2026-08-19,392,0,"안녕하세요 감사합니다
이번에 뉴비친구가 검마배율 100퍼정도 도달해서 2~3인팟 꾸려가지고 트라이 해보라고 말해줬는데
저는 이미 잡아서 도와주진 못해가지고(애초에 막무가내로 도와주는것도 제 성향이랑 안맞기도하고)
퇴근시간등에 월드통합 1채가서 알아보거나 메가폰으로 알아보라고 하면 될까요?
저도 이번 유입이라 다른 구인루트가 있는지 궁금해서 여쭤보았습니다",1,챌섭 지금 시점에서 뉴비가 검마 2~3인트라이하려면 어떤구인방법이 있을까요,안녕하세요 감사합니다 이번에 뉴비친구가 검마배율 100퍼정도 도달해서 2~3인팟 꾸려가지고 트라이 해보라고 말해줬는데 저는 이미 잡아서 도와주진 못해가지고(애초에 막무가내로 도와주는것도 제 성향이랑 안맞기도하고) 퇴근시간등에 월드통합 1채가서 알아보거나 메가폰으로 알아보라고 하면 될까요? 저도 이번 유입이라 다른 구인루트가 있는지 궁금해서 여쭤보았습니다,챌섭 지금 시점에서 뉴비가 검마 2~3인트라이하려면 어떤구인방법이 있을까요 안녕하세요 감사합니다 이번에 뉴비친구가 검마배율 100퍼정도 도달해서 2~3인팟 꾸려가지고 트라이 해보라고 말해줬는데 저는 이미 잡아서 도와주진 못해가지고(애초에 막무가내로 도와주는것도 제 성향이랑 안맞기도하고) 퇴근시간등에 월드통합 1채가서 알아보거나 메가폰으로 알아보라고 하면 될까요? 저도 이번 유입이라 다른 구인루트가 있는지 궁금해서 여쭤보았습니다,True,True,"['챌섭', '시점', '뉴비', '인트라이', '구인', '방법', '감사', '친구', '배율', '도달', '인팟', '꾸리', '트라이', '도와주', '애초', '막무가내', '성향', '퇴근', '월드', '통합', '알아보', '메가폰', '유입', '루트', '여쭈']",True
아이템,샤타때 만들어버렸는데 이후 템셋 문의… 9-10만목표,2026-08-19,675,0,"샤타때 고근 17->18을 한번만 눌러야지 했다가 바로터져서 홧김에 자동강화 돌렸는데 못멈춰서 23성을 찍어버렸습니다..
제 템 벨런스가 아에 안맞는거같아서 ㅠㅠ 한달뒤에 팔고 알맞게 낮추려고 하는데 어느정도로 맞춰야 할까요? ( 칠흑 22성 레에라던지… 쌍레필수라던지.. )
목표는 헥환 10만정도입니다.
현재 300억정도 보유중이고.. 다음템을 어떤순서로 맞춰야할지 감이 안잡히네요 ㅠㅠ
원래는 18고근 -> 22마이링 -> 18몽벨 -> 22루컨마 … 순서로 맞추려고 생각했었는데 18성 칠흑은 목표대비 너무 약하다는 소리를 들어서요..
추가로 보조도 궁금한점이 다음주에 아스트라 해방이 가능한데 보보공/공공 으로 사서 전승하는게 맞을까요?
환산은 아래와 같습니다! - 캐릭명 : 모씨찹쌀
https://maplescouter.com/ko/info?name=%EB%AA%A8%EC%94%A8%EC%B0%B9%EC%8C%80
뉴비좀 살려주십쇼..",4,샤타때 만들어버렸는데 이후 템셋 문의… 9-10만목표,샤타때 고근 17->18을 한번만 눌러야지 했다가 바로터져서 홧김에 자동강화 돌렸는데 못멈춰서 23성을 찍어버렸습니다.. 제 템 벨런스가 아에 안맞는거같아서 ㅠㅠ 한달뒤에 팔고 알맞게 낮추려고 하는데 어느정도로 맞춰야 할까요? ( 칠흑 22성 레에라던지… 쌍레필수라던지.. ) 목표는 헥환 10만정도입니다. 현재 300억정도 보유중이고.. 다음템을 어떤순서로 맞춰야할지 감이 안잡히네요 ㅠㅠ 원래는 18고근 -> 22마이링 -> 18몽벨 -> 22루컨마 … 순서로 맞추려고 생각했었는데 18성 칠흑은 목표대비 너무 약하다는 소리를 들어서요.. 추가로 보조도 궁금한점이 다음주에 아스트라 해방이 가능한데 보보공/공공 으로 사서 전승하는게 맞을까요? 환산은 아래와 같습니다! - 캐릭명 : 모씨찹쌀 뉴비좀 살려주십쇼..,샤타때 만들어버렸는데 이후 템셋 문의… 9-10만목표 샤타때 고근 17->18을 한번만 눌러야지 했다가 바로터져서 홧김에 자동강화 돌렸는데 못멈춰서 23성을 찍어버렸습니다.. 제 템 벨런스가 아에 안맞는거같아서 ㅠㅠ 한달뒤에 팔고 알맞게 낮추려고 하는데 어느정도로 맞춰야 할까요? ( 칠흑 22성 레에라던지… 쌍레필수라던지.. ) 목표는 헥환 10만정도입니다. 현재 300억정도 보유중이고.. 다음템을 어떤순서로 맞춰야할지 감이 안잡히네요 ㅠㅠ 원래는 18고근 -> 22마이링 -> 18몽벨 -> 22루컨마 … 순서로 맞추려고 생각했었는데 18성 칠흑은 목표대비 너무 약하다는 소리를 들어서요.. 추가로 보조도 궁금한점이 다음주에 아스트라 해방이 가능한데 보보공/공공 으로 사서 전승하는게 맞을까요? 환산은 아래와 같습니다! - 캐릭명 : 모씨찹쌀 뉴비좀 살려주십쇼..,True,True,"['샤타', '만들', '이후', '문의', '고근', '누르', '터지', '홧김', '자동', '강화', '멈추', '벨런스', '알맞', '낮추', '칠흑', '레에라', '필수', '헥환', '보유', '순서', '잡히', '원래', '마이링', '몽벨', '루컨마', '대비', '약하', '소리', '추가', '보조', '아스트라', '해방', '공공', '전승', '아래', '캐릭', '찹쌀', '뉴비', '살리']",True
아이템,매쌤들 질문있슴당,2026-08-19,156,0,17~18에테 모상하 레에 윗잠 30퍼 아랫잠 두줄 정도면 환산 몇까지 사용 가능한가요?,1,매쌤들 질문있슴당,17~18에테 모상하 레에 윗잠 30퍼 아랫잠 두줄 정도면 환산 몇까지 사용 가능한가요?,매쌤들 질문있슴당 17~18에테 모상하 레에 윗잠 30퍼 아랫잠 두줄 정도면 환산 몇까지 사용 가능한가요?,True,True,"['상하', '레에', '윗잠', '30퍼', '아랫', '환산']",False
기타,흙테르넬 질문,2026-08-19,934,0,모자랑 상하의를 12성으로 달고 잠재는 에픽 1~2줄 정도 하려고 하는데 전투력이 대략 얼마나 오를까요??,5,흙테르넬 질문,모자랑 상하의를 12성으로 달고 잠재는 에픽 1~2줄 정도 하려고 하는데 전투력이 대략 얼마나 오를까요??,흙테르넬 질문 모자랑 상하의를 12성으로 달고 잠재는 에픽 1~2줄 정도 하려고 하는데 전투력이 대략 얼마나 오를까요??,True,True,"['흙테르넬', '모자', '상하', '잠재', '에픽', '전투력', '오르']",False
직업,똥손도 최소컷 쉬운 직업,2026-08-19,1354,0,보마 렌이겠죠?,5,똥손도 최소컷 쉬운 직업,보마 렌이겠죠?,똥손도 최소컷 쉬운 직업 보마 렌이겠죠?,True,True,"['최소', '직업', '보마']",False
시세,뎀스 가격 질문입니다.,2026-08-19,487,0,"뒤적거리다가 발견했는데 경매장에도 없고 검색해봐도 싱가폴 야경 뎀스 시세에 대한 정보도 적어서 얼마에
팔아야할지 궁금합니다.  그리고 구미호 뎀스도 있는데 얼마나 하나요? 그냥 추출권 가격에 팔아야 하는걸까요?",1,뎀스 가격 질문입니다.,뒤적거리다가 발견했는데 경매장에도 없고 검색해봐도 싱가폴 야경 뎀스 시세에 대한 정보도 적어서 얼마에 팔아야할지 궁금합니다. 그리고 구미호 뎀스도 있는데 얼마나 하나요? 그냥 추출권 가격에 팔아야 하는걸까요?,뎀스 가격 질문입니다. 뒤적거리다가 발견했는데 경매장에도 없고 검색해봐도 싱가폴 야경 뎀스 시세에 대한 정보도 적어서 얼마에 팔아야할지 궁금합니다. 그리고 구미호 뎀스도 있는데 얼마나 하나요? 그냥 추출권 가격에 팔아야 하는걸까요?,True,True,"['뎀스', '가격', '뒤적거리', '발견', '경매장', '검색', '싱가폴', '야경', '시세', '대하', '정보', '궁금하', '구미호', '추출']",False
아이템,이거 왜 큐브 안돌려지죠?,2026-08-19,889,0,교불 맞는데?,5,이거 왜 큐브 안돌려지죠?,교불 맞는데?,이거 왜 큐브 안돌려지죠? 교불 맞는데?,True,True,"['큐브', '교불']",False
기타,메m 250 7일안에 가능한가요?,2026-08-19,636,0,안녕하세요 메이플 인벤엔 처음 글 써봐요 바빠서 메이플을 못하고 있다가 메m에 렌이 나온걸 보고 글을 쓰는 기준으로 어제 급하게 튜토리얼은 다 밀어서 203까지는 찍었는데 뎀스야 경매장에서 구매 가능하니 260까지는 필요 없는데 PC 메이플엔 렌이 본캐라 250 찍으면 주는 의자는 갖고 싶은데 혹시 남은 일주일로 250이 가능할까요? 무과금으로 힘들다면 유니온작도 SSS 할겸 챌섭 패스라도 구매해서 250 찍고 싶은데 무과금으로 가능할까요? 힘들면 패스를 구매하면 250은 가능할까요?,4,메m 250 7일안에 가능한가요?,안녕하세요 메이플 인벤엔 처음 글 써봐요 바빠서 메이플을 못하고 있다가 메m에 렌이 나온걸 보고 글을 쓰는 기준으로 어제 급하게 튜토리얼은 다 밀어서 203까지는 찍었는데 뎀스야 경매장에서 구매 가능하니 260까지는 필요 없는데 PC 메이플엔 렌이 본캐라 250 찍으면 주는 의자는 갖고 싶은데 혹시 남은 일주일로 250이 가능할까요? 무과금으로 힘들다면 유니온작도 SS 할겸 챌섭 패스라도 구매해서 250 찍고 싶은데 무과금으로 가능할까요? 힘들면 패스를 구매하면 250은 가능할까요?,메m 250 7일안에 가능한가요? 안녕하세요 메이플 인벤엔 처음 글 써봐요 바빠서 메이플을 못하고 있다가 메m에 렌이 나온걸 보고 글을 쓰는 기준으로 어제 급하게 튜토리얼은 다 밀어서 203까지는 찍었는데 뎀스야 경매장에서 구매 가능하니 260까지는 필요 없는데 PC 메이플엔 렌이 본캐라 250 찍으면 주는 의자는 갖고 싶은데 혹시 남은 일주일로 250이 가능할까요? 무과금으로 힘들다면 유니온작도 SS 할겸 챌섭 패스라도 구매해서 250 찍고 싶은데 무과금으로 가능할까요? 힘들면 패스를 구매하면 250은 가능할까요?,True,True,"['인벤', '처음', '바쁘', '기준', '급하', '튜토리얼', '뎀스야', '경매장', '필요', '의자', '일주일', '무과', '힘들', '유니온작', '챌섭', '패스']",False
아이템,챌섭 질문 있습니다.,2026-08-18,130,0,"챌섭 에메랄드,사파이어 보상으로 받은 카레잠 2개랑 에유잠 어디에 쓰는게 좋을까요? 제네시스 패스를 안사서 해방은 좀 많이 멀었고 엠블렘은 레전이고 하트는 유니크긴 한데 주스텟 21퍼 찍었습니다. 그냥 하트에 써서 27퍼 이상 노리는게 맞을까요?",0,챌섭 질문 있습니다.,"챌섭 에메랄드,사파이어 보상으로 받은 카레잠 2개랑 에유잠 어디에 쓰는게 좋을까요? 제네시스 패스를 안사서 해방은 좀 많이 멀었고 엠블렘은 레전이고 하트는 유니크긴 한데 주스텟 21퍼 찍었습니다. 그냥 하트에 써서 27퍼 이상 노리는게 맞을까요?","챌섭 질문 있습니다. 챌섭 에메랄드,사파이어 보상으로 받은 카레잠 2개랑 에유잠 어디에 쓰는게 좋을까요? 제네시스 패스를 안사서 해방은 좀 많이 멀었고 엠블렘은 레전이고 하트는 유니크긴 한데 주스텟 21퍼 찍었습니다. 그냥 하트에 써서 27퍼 이상 노리는게 맞을까요?",True,True,"['챌섭', '에메랄드', '사파이어', '보상', '카레', '제네시스', '패스', '해방', '엠블렘', '하트', '유니크', '주스텟', '노리']",False
퀘스트,챌섭 4주안에 챌린저 힘들가요?,2026-08-18,920,0,"복귀전에는 검밑솔까지 솔플해봤었는데
담주부터 할 수있는데 4주 안에는 힘드려나 현질도 어느정도 할 생각있긴한데",5,챌섭 4주안에 챌린저 힘들가요?,복귀전에는 검밑솔까지 솔플해봤었는데 담주부터 할 수있는데 4주 안에는 힘드려나 현질도 어느정도 할 생각있긴한데,챌섭 4주안에 챌린저 힘들가요? 복귀전에는 검밑솔까지 솔플해봤었는데 담주부터 할 수있는데 4주 안에는 힘드려나 현질도 어느정도 할 생각있긴한데,True,True,"['챌섭', '챌린저', '힘들', '복귀전', '솔플', '담주', '힘드려', '현질']",False
기타,엔버 링크 서버렉 먹음?,2026-08-18,243,0,지금도 서버렉 있나요?,1,엔버 링크 서버렉 먹음?,지금도 서버렉 있나요?,엔버 링크 서버렉 먹음? 지금도 서버렉 있나요?,True,True,"['엔버', '링크', '서버', '지금']",False
기타,파일손상재설치 관련,2026-08-18,188,0,"언제부턴가 패치할때마다 캔버스에러떠서 다시시도누르면 되긴했는데,,
문제는 지금은 컴퓨터 껏다키면 파일손상됬다고 재설치하라고합니다.. 그래서 끄질못해요
혹시 이유 아시는분이나 ,,같은증상 해결하신분 도움좀 부탁드립니다.",1,파일손상재설치 관련,"언제부턴가 패치할때마다 캔버스에러떠서 다시시도누르면 되긴했는데,, 문제는 지금은 컴퓨터 껏다키면 파일손상됬다고 재설치하라고합니다.. 그래서 끄질못해요 혹시 이유 아시는분이나 ,,같은증상 해결하신분 도움좀 부탁드립니다.","파일손상재설치 관련 언제부턴가 패치할때마다 캔버스에러떠서 다시시도누르면 되긴했는데,, 문제는 지금은 컴퓨터 껏다키면 파일손상됬다고 재설치하라고합니다.. 그래서 끄질못해요 혹시 이유 아시는분이나 ,,같은증상 해결하신분 도움좀 부탁드립니다.",True,True,"['파일', '손상', '설치', '관련', '패치', '캔버스', '시도', '누르', '문제', '지금', '컴퓨터', '이유', '증상', '해결', '도움']",False
아이템,똥블렘->미트라 어느 수준으로 맞출까요?,2026-08-18,988,0,"지금 마9퍼/마6퍼 똥블렘 쓰고 있는데 어느 수준으로 맞추는게 현재 스펙에서 제일 적절할까요?
장신구는 18성 유에 둘둘, 아버장비, 무보 레전3줄/2줄에 매주 하드메이린까지 잡고 있는 스펙입니다.
윗잠 마21퍼 미트라사서 에디 6퍼만 띄워서 쓸까 하는데(60~65억) 별로인가요?",4,똥블렘->미트라 어느 수준으로 맞출까요?,"지금 마9퍼/마6퍼 똥블렘 쓰고 있는데 어느 수준으로 맞추는게 현재 스펙에서 제일 적절할까요? 장신구는 18성 유에 둘둘, 아버장비, 무보 레전3줄/2줄에 매주 하드메이린까지 잡고 있는 스펙입니다. 윗잠 마21퍼 미트라사서 에디 6퍼만 띄워서 쓸까 하는데(60~65억) 별로인가요?","똥블렘->미트라 어느 수준으로 맞출까요? 지금 마9퍼/마6퍼 똥블렘 쓰고 있는데 어느 수준으로 맞추는게 현재 스펙에서 제일 적절할까요? 장신구는 18성 유에 둘둘, 아버장비, 무보 레전3줄/2줄에 매주 하드메이린까지 잡고 있는 스펙입니다. 윗잠 마21퍼 미트라사서 에디 6퍼만 띄워서 쓸까 하는데(60~65억) 별로인가요?",True,True,"['똥블렘', '미트', '수준', '장신구', '아버', '장비', '하드메이린', '미트라사', '에디', '띄우']",False
아이템,150만원으로 템세팅vs 5석펫,2026-08-18,1759,1,"직업 플위 헥사환산 56600인데
150으로 템세팅이좋을까여? 5석펫이좋을까요?
풀드메이고   9월 14일까지는풀메제하고 그이후에는 4소재비정도만할예정입니다",8,150만원으로 템세팅vs 5석펫,직업 플위 헥사환산 56600인데 150으로 템세팅이좋을까여? 5석펫이좋을까요? 풀드메이고 9월 14일까지는풀메제하고 그이후에는 4소재비정도만할예정입니다,150만원으로 템세팅vs 5석펫 직업 플위 헥사환산 56600인데 150으로 템세팅이좋을까여? 5석펫이좋을까요? 풀드메이고 9월 14일까지는풀메제하고 그이후에는 4소재비정도만할예정입니다,True,True,"['세팅', '석펫', '직업', '플위', '헥사', '환산', '풀드메이', '제하', '이후', '소재비', '예정']",False
퀘스트,아버 미션 노말보스 하드로 깨도 되나요?,2026-08-18,265,0,메린이 투력 2500따리긴한데 진힐라 노멀 대신 하드로 해볼까합니다,2,아버 미션 노말보스 하드로 깨도 되나요?,메린이 투력 2500따리긴한데 진힐라 노멀 대신 하드로 해볼까합니다,아버 미션 노말보스 하드로 깨도 되나요? 메린이 투력 2500따리긴한데 진힐라 노멀 대신 하드로 해볼까합니다,True,True,"['아버', '미션', '보스', '하드', '메린', '투력', '따리', '진힐라', '노멀', '대신']",True
아이템,렌 제네무기 추옵 질문입니다!!!!!,2026-08-18,239,0,이거 이렇게 나왔는데 오른쪽이 낫나요??? 전투력은 떨어지는데,1,렌 제네무기 추옵 질문입니다!!!,이거 이렇게 나왔는데 오른쪽이 낫나요?? 전투력은 떨어지는데,렌 제네무기 추옵 질문입니다!!! 이거 이렇게 나왔는데 오른쪽이 낫나요?? 전투력은 떨어지는데,True,True,"['제네무기', '오른쪽', '전투력', '떨어지']",False
몬스터,하드메이린 104프로 빌드 충고 부탁드립니다.,2026-08-18,482,0,"오늘만 7시간 째 머리 박고 있는데, 계속 3~5프로 남기고 실패 하더라구요.
배율은 104프로 정도 나오고 있고, 헥환은 46,345 으로 나옵니다.
그리고 10분 기준으로 2페가 넘어가야 하는데, 늦으면 잔여시간 9분 30초 ~ 10분 10초 정도 때 2페이즈 넘어가게 되는데
2페이즈 넘어가는 시점이 늦은거 아닌가 싶은데, 다른 분들은 어떠신가요?",8,하드메이린 104프로 빌드 충고 부탁드립니다.,"오늘만 7시간 째 머리 박고 있는데, 계속 3~5프로 남기고 실패 하더라구요. 배율은 104프로 정도 나오고 있고, 헥환은 46,345 으로 나옵니다. 그리고 10분 기준으로 2페가 넘어가야 하는데, 늦으면 잔여시간 9분 30초 ~ 10분 10초 정도 때 2페이즈 넘어가게 되는데 2페이즈 넘어가는 시점이 늦은거 아닌가 싶은데, 다른 분들은 어떠신가요?","하드메이린 104프로 빌드 충고 부탁드립니다. 오늘만 7시간 째 머리 박고 있는데, 계속 3~5프로 남기고 실패 하더라구요. 배율은 104프로 정도 나오고 있고, 헥환은 46,345 으로 나옵니다. 그리고 10분 기준으로 2페가 넘어가야 하는데, 늦으면 잔여시간 9분 30초 ~ 10분 10초 정도 때 2페이즈 넘어가게 되는데 2페이즈 넘어가는 시점이 늦은거 아닌가 싶은데, 다른 분들은 어떠신가요?",True,True,"['하드메이린', '프로', '충고', '오늘', '머리', '남기', '실패', '배율', '헥환', '기준', '넘어가', '잔여', '2페이즈', '시점']",False
아이템,노적자 노칼 목표 스펙업 방향부탁드립니다,2026-08-18,212,0,"결계 유니크
아버 대체로 미라클, 샤타로 17성 에테 상하모 윗잠 레전 아랫잠 에픽
견장 14성 윗잠 레전 아랫잠 에픽 은 만들었고 아직 옵은 못뽑은 상태입니다
이상태에서 뭐부터 바꿔야 노멀 대적자 140~145쯤 좀 넘게 스펙업을 원하는데
(대략 환산 7만정도나 6만 후반대)
스펙업 진로를 어떻게 잡아야할지 도움 부탁드립니다",0,노적자 노칼 목표 스펙업 방향부탁드립니다,"결계 유니크 아버 대체로 미라클, 샤타로 17성 에테 상하모 윗잠 레전 아랫잠 에픽 견장 14성 윗잠 레전 아랫잠 에픽 은 만들었고 아직 옵은 못뽑은 상태입니다 이상태에서 뭐부터 바꿔야 노멀 대적자 140~145쯤 좀 넘게 스펙업을 원하는데 (대략 환산 7만정도나 6만 후반대) 스펙업 진로를 어떻게 잡아야할지 도움 부탁드립니다","노적자 노칼 목표 스펙업 방향부탁드립니다 결계 유니크 아버 대체로 미라클, 샤타로 17성 에테 상하모 윗잠 레전 아랫잠 에픽 견장 14성 윗잠 레전 아랫잠 에픽 은 만들었고 아직 옵은 못뽑은 상태입니다 이상태에서 뭐부터 바꿔야 노멀 대적자 140~145쯤 좀 넘게 스펙업을 원하는데 (대략 환산 7만정도나 6만 후반대) 스펙업 진로를 어떻게 잡아야할지 도움 부탁드립니다",True,True,"['노적자', '노칼', '방향', '유니크', '아버', '미라클', '샤타로', '에테', '상하', '아랫', '에픽', '윗잠', '레저', '만들', '노멀', '적자', '환산', '후반', '진로', '도움']",False
