term,ngram_n,document_frequency,title_document_frequency,weighted_frequency,아이템,퀘스트,몬스터,직업,시세,기타,dominant_category,category_purity,category_confidence,score,example_1,example_2,example_3
무기,1,173,47,258,151,2,0,6,2,12,아이템,0.8728323699421965,0.6669187862135137,9.293553411008961,헥환 8만 목표 과금 어느정도 해야할까요?,유챔 하드 세렌급 보조 스펙 질문 있습니다!,제네무기 추옵이랑 에디 건드려야할까요 ?
시세,1,90,45,159,42,0,0,0,42,6,시세,0.4666666666666667,0.8374110234421043,8.90409247703717,뉴비 루컨마 시세 문의 드립니다..!!!,데브펜24성 시세,문신템
코인,1,116,42,189,96,0,1,0,0,19,아이템,0.8275862068965517,0.7387657925530182,8.81173526334002,메고수 형님들 해방무기 질문입니다!!,해방무기 제네플러스 코인 어떤거 할까요??,제네플러스 보스 연모6인으로 패도되나여?
메이플,1,204,70,325,59,2,4,14,7,118,기타,0.5784313725490197,0.4476999827539213,8.780370055937022,동전꼽기가 운영정책 위반인지 여부,제네패스 지금 사도 되나요?,메이플 늦은 유입 뉴비 현시점 제네패스 질러도 될까요?
에테,1,125,32,219,113,0,0,0,4,8,아이템,0.904,0.7561827332370453,8.701280248625796,헥환 8만 목표 과금 어느정도 해야할까요?,템 가성비 셋팅 질문,뉴비 아버 템 대체질문
18성,1,183,17,274,161,0,1,1,2,18,아이템,0.8797814207650273,0.764801246540448,8.59181721611849,헥환 8만 목표 과금 어느정도 해야할까요?,템 가성비 셋팅 질문,하메 도전 메린이 인데 템셋 질문있슴다
대적자,1,122,42,187,105,1,4,1,0,11,아이템,0.860655737704918,0.65466272164469,8.47357815027106,헥환 8만 목표 과금 어느정도 해야할까요?,제네무기 에디 고민 유니크 15 vs 레전 등업,대적자의 큐브질문
레테,1,201,82,371,85,5,6,38,6,61,직업,0.1890547263681592,0.3714967618689156,8.4656901837105,메린이 유니온 질문있습니다,본캐 추천 부탁드리겠습니다....,레테 보조 질문드립니다..
해방무기,1,79,33,123,71,0,0,0,0,8,아이템,0.8987341772151899,0.8598280286067423,8.385786369823268,메고수 형님들 해방무기 질문입니다!!,메린이 해방무기 질문,해방무기 제네플러스 코인 어떤거 할까요??
목표,1,206,34,289,147,0,2,17,0,40,아이템,0.7135922330097088,0.49714335674602533,8.24972417516872,헥환 8만 목표 과금 어느정도 해야할까요?,유뇬작이랑 링크작하려는데,제네무기 추옵이랑 에디 건드려야할까요 ?
메소,1,231,24,341,164,1,2,2,5,57,아이템,0.70995670995671,0.5312833064247008,8.197303118445328,제네 추옵 윗잠 밑잠 중 우선 순위 부탁드립니다.,초저자본 메린이 첫 제네시스 잠재 질문,에테 스타포스 할만한지 아니면 사먹는게 나은지 궁금합니다.
본캐,1,189,39,310,75,2,1,40,1,70,직업,0.21164021164021163,0.46954681956872873,8.121976493732522,모멘텀 패스 플러스 누구 줄까요?,본캐 추천 부탁드리겠습니다....,메카베리 본캐vs부캐
추옵,1,127,40,199,109,0,1,0,11,6,아이템,0.8582677165354331,0.5662249331037297,8.032807043240064,제네무기 추옵이랑 에디 건드려야할까요 ?,메고수 형님들 해방무기 질문입니다!!,제네 추옵 윗잠 밑잠 중 우선 순위 부탁드립니다.
사용처,1,53,44,100,49,0,0,1,0,3,아이템,0.9245283018867925,0.84595050530673,7.886268668215494,화에큐 사용처 질문,에디 레전 천장 사용처가 고민입니다....,챌섭 블큐 화에큐 사용처 및 챌 달성 질문
하트,1,96,19,143,83,0,0,0,0,13,아이템,0.8645833333333334,0.8152536188230071,7.883731578933509,플라즈마 하트 스페어 질문,무보 잇는상태에서 유챔 템셋팅질문점여,챌섭 챌린저 목표 템셋팅 관련 질문입니다.
옵션,1,100,24,153,86,1,0,1,0,12,아이템,0.86,0.7349917754911272,7.869723581630066,에디 레전 천장 사용처가 고민입니다....,메린이 에디 레전 천장 어떻게 하는게 좋을까요,챌섭 아케인셰이드 장갑 극추옵 질문드립니다
챌린저,1,148,45,223,93,1,1,6,0,47,아이템,0.6283783783783784,0.45584557997301733,7.826219000265006,메린이 하드메이린 목표 템셋 봐주시면 감사하겠습니다!,챌린저 찍어보고 싶은데 여기서 뭘 더 해야 할까요?,챌섭 챌린저 질문
검마,1,138,67,271,36,17,30,8,0,47,몬스터,0.21739130434782608,0.3965663174905304,7.807356777273394,챌섭 메린이 질문이용,제네 검마,챌린저 하고 싶은데 여기서 무보엠 바꿔주면 되나요?
블큐,1,85,15,121,79,0,0,0,0,6,아이템,0.9294117647058824,0.900993488910431,7.755453880240375,해방무기 제네플러스 코인 어떤거 할까요??,챌섭 스펙업 어떻게 할까요? 미트라? 보장?,챌섭 블큐 화에큐 사용처 및 챌 달성 질문
유니크,1,161,12,217,140,0,0,2,4,15,아이템,0.8695652173913043,0.7152796904542151,7.720837886714188,제네무기 에디 고민 유니크 15 vs 레전 등업,하메 도전 메린이 인데 템셋 질문있슴다,코인샵 코인 어디에 쓸까요?
칠흑,1,89,18,134,82,0,1,1,0,5,아이템,0.9213483146067416,0.817764752426299,7.702445640126649,헥환 8만 목표 과금 어느정도 해야할까요?,선생님들 헥사환산 몇을 목표로 잡아야할까요?,칠흑 보통 얼마정도 하나요?
해방,1,148,39,217,82,18,4,8,0,36,퀘스트,0.12162162162162163,0.4535363848914399,7.6613233582080325,헥환 8만 목표 과금 어느정도 해야할까요?,해방 질문있습니다,화에큐 사용처 질문
보조무기,1,88,31,154,74,0,0,2,2,10,아이템,0.8409090909090909,0.6723396949016693,7.655607252319712,챌섭 챌린저 목표 템셋팅 관련 질문입니다.,아스트라 보조무기 질문있습니다.,렌] 아스트라 보조무기 전승해도 될까요?
배율,1,114,29,179,32,4,35,8,0,35,몬스터,0.30701754385964913,0.5922970951666091,7.632252055333586,하메 도전 메린이 인데 템셋 질문있슴다,메린이 하드메이린 목표 템셋 봐주시면 감사하겠습니다!,선생님들 헥사환산 몇을 목표로 잡아야할까요?
가격,1,119,28,169,86,0,1,0,23,9,시세,0.19327731092436976,0.5754106018248113,7.580688371462533,이번 마라벨 풀셋 가격?,레테 보조 질문드립니다..,챌린저 하고 싶은데 여기서 무보엠 바꿔주면 되나요?
아랫잠,1,104,12,156,99,0,0,0,3,2,아이템,0.9519230769230769,0.8213125887153131,7.4993566987430915,제네무기 윗잠 아랫잠 뭐돌릴까요...,제네무기 어디를 건드려야 될까요?,윗잠 아랫잠중 어느거 돌려야하나요
제네,1,107,47,168,80,6,0,2,0,19,아이템,0.7476635514018691,0.4677363092667004,7.426578820534603,헥환 8만 목표 과금 어느정도 해야할까요?,제네무기 추옵이랑 에디 건드려야할까요 ?,제네 추옵 윗잠 밑잠 중 우선 순위 부탁드립니다.
장갑,1,84,20,129,76,0,0,0,3,5,아이템,0.9047619047619048,0.7459811261347897,7.420748629832413,헥환 8만 목표 과금 어느정도 해야할까요?,에테 장갑은 크주 vs 쌍크 어느게 가성비 좋나요,에디 레전 천장 사용처가 고민입니다....
장신구,1,107,12,137,96,0,0,2,1,8,아이템,0.897196261682243,0.7807752579484764,7.376825954559113,헥환 8만 목표 과금 어느정도 해야할까요?,유챔 하드 세렌급 보조 스펙 질문 있습니다!,챌섭 챌린저 목표 템셋팅 관련 질문입니다.
대적자 코인,2,46,24,81,44,0,0,0,0,2,아이템,0.9565217391304348,0.9382930923104487,7.33458994454853,윗잠 아랫잠중 어느거 돌려야하나요,남은 대적자 코인 어디에 터는게 정배일까요,뉴비) 첫 해방 무기 세팅 방법 좀 알 수 잇을까요?!
템셋,1,55,38,98,47,0,0,3,0,5,아이템,0.8545454545454545,0.6913624711287603,7.145574221840334,출석 보돌만 하다가 제대로 복귀해보려하는데 템셋 질문좀여,하메 도전 메린이 인데 템셋 질문있슴다,메린이 하드메이린 목표 템셋 봐주시면 감사하겠습니다!
패스,1,133,41,227,58,8,0,5,0,62,기타,0.46616541353383456,0.3689605019012911,7.111607370185316,챌썹뉴비 지금 시기에 패스 다 지를까요?,모멘텀 패스 플러스 누구 줄까요?,메린이 해방무기 윗잠 질문
메이린,1,119,48,203,70,1,13,4,1,30,몬스터,0.1092436974789916,0.36344021081147876,7.074283844873308,칠흑 보통 얼마정도 하나요?,아 하드 메이린.. 개어렵다,챌섭 챌린저 목표 템셋팅 관련 질문입니다.
방어구,1,66,15,95,61,0,1,0,0,4,아이템,0.9242424242424242,0.8328328521102097,7.058292117843081,헥환 8만 목표 과금 어느정도 해야할까요?,유챔 하드 세렌급 보조 스펙 질문 있습니다!,"익스우, 노흉 목표 템 진로 질문좀요"
화에큐,1,91,12,138,80,0,0,0,2,9,아이템,0.8791208791208791,0.75864226008286,7.035656047116886,화에큐 사용처 질문,해방무기 제네플러스 코인 어떤거 할까요??,제네무기 어디를 건드려야 될까요?
환산,1,150,39,232,82,3,4,9,1,51,아이템,0.5466666666666666,0.31998303257220506,6.975926841902729,템 가성비 셋팅 질문,"하드메이린 환산 오르는거 평딜,준극이랑 오리진이랑 비슷하면",제네무기 추옵이랑 에디 건드려야할까요 ?
엠블렘,1,84,14,122,74,0,0,4,0,6,아이템,0.8809523809523809,0.7325930940453158,6.975357462310372,유챔 하드 세렌급 보조 스펙 질문 있습니다!,챌섭 챌린저 목표 템셋팅 관련 질문입니다.,코인샵 코인 어디에 쓸까요?
17성,1,124,13,182,102,0,3,3,2,14,아이템,0.8225806451612904,0.6078547665216124,6.954753897414077,템 가성비 셋팅 질문,선생님들 헥사환산 몇을 목표로 잡아야할까요?,핵환 4.4 도미먹었는디
드메템,1,58,25,106,51,0,1,0,1,5,아이템,0.8793103448275862,0.7192636219812153,6.931246221263323,형님들 드메템 vs 보스용장비 뭐 먼저맞추는게좋을까요?,메린이 챌린저 달았는데 이제 세팅 뭐부터할까요?,선생님들 메린이 진로 추천 부탁드리겠습니다
하나,1,188,18,242,121,2,2,15,2,46,아이템,0.6436170212765957,0.4036527367945938,6.928393613222444,에테 장갑은 크주 vs 쌍크 어느게 가성비 좋나요,보통 22성 도전자셋은 환산 몇만까지 끼나요?,메 m 이거 차이가 뭔가요
이벤링,1,72,15,113,62,0,1,0,0,9,아이템,0.8611111111111112,0.7609402402193808,6.919758436288797,보스방 드랍율이랑 일반 맵 드랍율이 다른가요?,이벤링 큐브 질문,본섭 깡통캐릭 유챔하는거 별로일까요?
직업,1,161,18,200,67,2,14,40,0,38,직업,0.2484472049689441,0.44296836448160337,6.912995511863535,템 가성비 셋팅 질문,하메 도전 메린이 인데 템셋 질문있슴다,뉴비 아버 템 대체질문
템셋팅,1,49,36,95,40,0,0,0,1,8,아이템,0.8163265306122449,0.6921650624243049,6.895421340448866,헥환 8만 목표 과금 어느정도 해야할까요?,메린이 하드메이린 목표 템셋 봐주시면 감사하겠습니다!,챌섭 챌린저 목표 템셋팅 관련 질문입니다.
보스,1,176,42,253,58,11,15,14,2,76,기타,0.4318181818181818,0.24928730673564434,6.881518122710701,헥환 8만 목표 과금 어느정도 해야할까요?,선생님들 헥사환산 몇을 목표로 잡아야할까요?,환산 질문
카레잠,1,54,27,95,47,0,0,0,2,5,아이템,0.8703703703703703,0.7050258616228919,6.831449796257128,카레잠 카에유잠 제네무기에 쓰는거 괜찮죠?,메쌤 도와줘요,카레잠 카에유잠 팔고싶어요
세팅,1,48,20,79,42,0,0,0,0,6,아이템,0.875,0.8287131132142378,6.808701753504891,선생님들 헥사환산 몇을 목표로 잡아야할까요?,템 세팅 방향성 질문드립니다,뉴비) 첫 해방 무기 세팅 방법 좀 알 수 잇을까요?!
직작,1,58,13,78,54,0,0,1,0,3,아이템,0.9310344827586207,0.8581916149956261,6.787782545500021,에테 18성 직작 vs 완작사기,칠흑 보통 얼마정도 하나요?,에테 스타포스 할만한지 아니면 사먹는게 나은지 궁금합니다.
자석펫,1,105,41,220,60,0,0,1,7,37,아이템,0.5714285714285714,0.3712400255378753,6.78253538558045,헥환 8만 목표 과금 어느정도 해야할까요?,펫 아무거나 사도 되나요?,챌섭리프
여명,1,101,14,131,82,1,1,2,1,14,아이템,0.8118811881188119,0.615819104867788,6.772197102377253,헥환 8만 목표 과금 어느정도 해야할까요?,하메 도전 메린이 인데 템셋 질문있슴다,선생님들 헥사환산 몇을 목표로 잡아야할까요?
본섭,1,187,29,284,82,5,5,19,4,72,기타,0.3850267379679144,0.2772731736392473,6.756451792057349,선생님들 헥사환산 몇을 목표로 잡아야할까요?,제네시스 코인 투자처 질문,메린이 본캐 고민
미라클,1,59,19,95,50,0,0,0,1,8,아이템,0.847457627118644,0.737575355103432,6.753966356748243,칠흑 33퍼사서 미라클때 에디레전 보내는거 어떤가요?,뉴비 보조무기 질문,챌섭 템세팅 진로 질문드려요
아케인,1,103,17,160,81,0,2,2,4,14,아이템,0.7864077669902912,0.5465803679455943,6.705659900224928,템 가성비 셋팅 질문,18에테 22아케인 질문있습니다,선생님들 헥사환산 몇을 목표로 잡아야할까요?
하드,1,122,36,191,68,7,15,5,0,27,몬스터,0.12295081967213115,0.33365203002584287,6.68500092506227,유챔 하드 세렌급 보조 스펙 질문 있습니다!,칠흑 보통 얼마정도 하나요?,아 하드 메이린.. 개어렵다
유입,1,56,33,93,42,0,0,2,1,11,아이템,0.75,0.5730251656011057,6.543964159118478,본캐 추천 부탁드리겠습니다....,메린이 익스우 템세팅 질문,메이플 늦은 유입 뉴비 현시점 제네패스 질러도 될까요?
레잠,1,64,17,115,53,0,1,0,1,9,아이템,0.828125,0.6735018380943688,6.521675648386869,챌섭 챌린저 목표 템셋팅 관련 질문입니다.,메이플 늦은 유입 뉴비 현시점 제네패스 질러도 될까요?,챌린저 하고 싶은데 여기서 무보엠 바꿔주면 되나요?
방향성,1,43,25,75,38,0,0,2,0,3,아이템,0.8837209302325582,0.7377849040042593,6.501892830272606,헥환 5만목표 방향성 궁금해요,챌섭 챌린저 목표 템셋팅 관련 질문입니다.,살짝 과부화 오는데 방향성 한번만 잡아주실분..?
등업,1,47,11,77,44,0,0,0,0,3,아이템,0.9361702127659575,0.9102099709817099,6.4537140631208265,제네무기 에디 고민 유니크 15 vs 레전 등업,에디 레전 천장 사용처가 고민입니다....,메린이 에디 레전 천장 어떻게 하는게 좋을까요
나을까요,1,131,12,170,96,1,2,9,1,22,아이템,0.732824427480916,0.4866552215983916,6.4223831290076525,제네무기 추옵이랑 에디 건드려야할까요 ?,18에테 22아케인 질문있습니다,템환 10만으로 가고싶습니다..
얼마,1,56,16,77,30,0,1,1,19,5,시세,0.3392857142857143,0.7098242190708578,6.394314532230365,제네패스 지금 사도 되나요?,뉴비 루컨마 시세 문의 드립니다..!!!,"미라클때 만든 레전잡, 유니크3줄 칠흑 언제팔아야 할까요"
챌린저스,1,86,28,137,39,2,0,5,0,40,기타,0.46511627906976744,0.41963576159795846,6.372261018432288,플라즈마 하트 스페어 질문,챌섭 챌린저 목표 템셋팅 관련 질문입니다.,메이플 늦은 유입 뉴비 현시점 제네패스 질러도 될까요?
아이템,1,93,25,134,63,1,2,4,3,20,아이템,0.6774193548387096,0.41752620305525645,6.367557956024005,챌섭 챌린저 목표 템셋팅 관련 질문입니다.,아이탬 이름이 궁금합니다,"안녕하세요 메쌤, 메형님들 뉴비 질문 몇 가지만 해도 될까요?"
제네시스,1,80,33,136,48,7,0,3,0,22,퀘스트,0.0875,0.4040507449168477,6.3486771319540125,제네시스 코인 투자처 질문,초저자본 메린이 첫 제네시스 잠재 질문,챌섭 챌린저 목표 템셋팅 관련 질문입니다.
하드메이린,1,79,33,128,48,2,11,4,0,14,몬스터,0.13924050632911392,0.40414711313259255,6.331164785894172,"하드메이린 환산 오르는거 평딜,준극이랑 오리진이랑 비슷하면",메린이 하드메이린 목표 템셋 봐주시면 감사하겠습니다!,하드메이린 목표 템셋 좀 봐주세요 ㅠㅠ
고민입니다,1,98,14,118,70,0,1,7,0,20,아이템,0.7142857142857143,0.5091986560674819,6.284502735327424,에디 레전 천장 사용처가 고민입니다....,챌섭리프,챌섭 리프 질문
순서,1,75,28,126,52,0,3,6,0,14,아이템,0.6933333333333334,0.4365319278308789,6.252930023905864,선생님들 헥사환산 몇을 목표로 잡아야할까요?,템환 10만으로 가고싶습니다..,보마 카링1페 질문 있습니다
전투력,1,115,21,166,69,1,3,10,0,32,아이템,0.6,0.36400588525868216,6.248275612802856,제네무기 추옵 질문,챌섭 챌린저 질문,챌섭 챌린저 목표 템셋팅 관련 질문입니다.
플러스,1,58,25,95,45,2,0,1,0,10,아이템,0.7758620689655172,0.5475913635924231,6.239146023806776,모멘텀 패스 플러스 누구 줄까요?,메린이 해방무기 윗잠 질문,메린이 에디 레전 천장 어떻게 하는게 좋을까요
헥사,1,79,30,130,25,1,0,12,0,41,기타,0.5189873417721519,0.39980137612225897,6.226578040723834,유챔 하드 세렌급 보조 스펙 질문 있습니다!,데티목표입니다 조각 템펙업 고민입니다,챌섭 뉴비 하드메이린 잡고싶은데 스펙업 질문
대적자 큐브,2,34,11,51,34,0,0,0,0,0,아이템,1.0,1.0,6.20576047358119,헥환 8만 목표 과금 어느정도 해야할까요?,제네무기 어디를 건드려야 될까요?,대적자 큐브 질문
구매,1,78,12,116,59,0,0,2,1,16,아이템,0.7564102564102564,0.604945991739226,6.204457664678544,MVP작 할 때 질문,"안녕하세요 메쌤, 메형님들 뉴비 질문 몇 가지만 해도 될까요?",챌섭 블큐 화에큐 사용처 및 챌 달성 질문
미라클때,1,43,11,62,41,0,0,1,0,1,아이템,0.9534883720930233,0.8717960618111791,6.181790893683339,"미라클때 만든 레전잡, 유니크3줄 칠흑 언제팔아야 할까요",대적자코인 사용처 질문,칠흑 33퍼사서 미라클때 에디레전 보내는거 어떤가요?
제네패스,1,87,33,140,48,6,1,2,0,30,퀘스트,0.06896551724137931,0.33692005624412313,6.1591559083619565,메고수 형님들 해방무기 질문입니다!!,제네패스 지금 사도 되나요?,어제 시작한 뉴비 제네패스
어디다,1,44,16,65,37,0,0,1,0,6,아이템,0.8409090909090909,0.7361205725484904,6.113044233424739,환산 7~8만 목푠데 다음 메소를 어디다 써야 해야할까요?,메린이 에디 레전 천장 어떻게 하는게 좋을까요,"익스우, 노흉 목표 템 진로 질문좀요"
여기서,1,85,9,99,70,2,0,2,0,11,아이템,0.8235294117647058,0.6183340552588814,6.094080769043046,헥환 8만 목표 과금 어느정도 해야할까요?,하메 도전 메린이 인데 템셋 질문있슴다,제네무기 추옵이랑 에디 건드려야할까요 ?
이제,1,109,12,129,72,1,2,5,0,29,아이템,0.6605504587155964,0.4532645329898505,6.043711990662371,화에큐 사용처 질문,챌섭 메린이 질문이용,제네패스 지금 사도 되나요?
다음,1,101,22,145,60,2,2,10,0,27,아이템,0.594059405940594,0.341044398481994,6.018235432191125,동전꼽기가 운영정책 위반인지 여부,템 가성비 셋팅 질문,뉴비 아버 템 대체질문
사서,1,194,3,245,162,2,2,1,6,21,아이템,0.8350515463917526,0.610637000579413,6.012490548280308,mvp작,칠흑 보통 얼마정도 하나요?,챌섭에서 리프할때 템
유니온,1,83,18,124,20,3,0,10,0,50,기타,0.6024096385542169,0.43748565487547203,5.997691623655134,선생님들 헥사환산 몇을 목표로 잡아야할까요?,메린이 유니온 질문있습니다,유니온 크뎀40개찍으려면 유니온 몇렙되야하나요???
쓰는게,1,70,13,94,53,0,1,3,1,12,아이템,0.7571428571428571,0.5476269015453014,5.910013268285354,화에큐 사용처 질문,챌섭 메린이 질문이용,이게 주흔15퍼작보다 좋은건가요?
도미,1,47,9,67,43,0,0,0,1,3,아이템,0.9148936170212766,0.8029050023326441,5.900305841802482,핵환 4.4 도미먹었는디,요즘 도미 작 어떻게 하나요?,와헌 템셋팅 질문 드립니다.
제네 무기,2,28,13,42,27,0,0,0,0,1,아이템,0.9642857142857143,0.9491390994950946,5.879813795532668,헥환 8만 목표 과금 어느정도 해야할까요?,보통 22성 도전자셋은 환산 몇만까지 끼나요?,제네 무기 추옵 질문드립니다
있는데,1,229,7,250,133,4,4,13,8,67,아이템,0.5807860262008734,0.33141313252115867,5.878541615167872,헥환 8만 목표 과금 어느정도 해야할까요?,챌섭 메린이 질문이용,메린이 익스우 템세팅 질문
먼저,1,106,10,143,77,3,2,4,1,19,아이템,0.7264150943396226,0.455246666458191,5.84595512329735,님들 링크 3렙 찬란한영웅의 증거 질문 있습니다,아케인 쌍크 장갑을 만들었는데,대적자코인 사용처 질문
이벤트,1,111,11,145,67,1,0,7,0,36,아이템,0.6036036036036037,0.4181563126475533,5.839973111410663,플라즈마 하트 스페어 질문,제네 추옵 윗잠 밑잠 중 우선 순위 부탁드립니다.,챌섭 챌린저 목표 템셋팅 관련 질문입니다.
하드 메이린,2,67,25,103,45,1,5,1,0,15,아이템,0.6716417910447762,0.3995314984838702,5.838689181338759,칠흑 보통 얼마정도 하나요?,아 하드 메이린.. 개어렵다,챌섭 챌린저 목표 템셋팅 관련 질문입니다.
울티마,1,45,39,93,9,5,0,1,0,30,퀘스트,0.1111111111111111,0.44296805910485065,5.819245146114464,"안녕하세요 메쌤, 메형님들 뉴비 질문 몇 가지만 해도 될까요?",울티마 궁수 템 잠재,울티마 40렙부터 경험치 올리기 빡센게 맞는거죠?
이렇게,1,159,8,174,95,0,5,5,5,49,아이템,0.5974842767295597,0.37673626417154266,5.79644709095053,템 가성비 셋팅 질문,템환 10만으로 가고싶습니다..,뉴비 하드메이린 찐모
진로,1,43,34,81,29,0,1,2,0,11,아이템,0.6744186046511628,0.4790471297922125,5.78338710904222,챌섭 유입 메린이 템 진로 고민입니다 !!,"익스우, 노흉 목표 템 진로 질문좀요",살짝 과부화 오는데 방향성 한번만 잡아주실분..?
부캐,1,72,21,115,31,1,0,7,0,33,기타,0.4583333333333333,0.398254773246058,5.781124297112667,헥환 8만 목표 과금 어느정도 해야할까요?,모멘텀 패스 플러스 누구 줄까요?,메카베리 본캐vs부캐
서버,1,58,17,103,11,0,0,5,3,39,기타,0.6724137931034483,0.5177491517164046,5.777476946849799,챌섭리프,제네 검마,챌섭 챌린저 목표 템셋팅 관련 질문입니다.
에픽,1,70,7,106,60,1,0,1,1,7,아이템,0.8571428571428571,0.666748257097408,5.768514014170577,미트라의 분노 잠재 스크롤 안됌,챌섭 파풀마 사려는데 고민이에요!,하드 메이린 잡고 싶은데 스펙업 방향을 알려주세요!
대적자코인,1,34,13,55,29,0,0,0,0,5,아이템,0.8529411764705882,0.8003497843385803,5.734274537108741,메린이 해방무기 질문,제네무기 윗잠 아랫잠 뭐돌릴까요...,환산 7~8만 목푠데 다음 메소를 어디다 써야 해야할까요?
리프,1,35,18,68,6,0,0,1,1,27,기타,0.7714285714285715,0.6993027680616134,5.734258779739542,챌섭 리프 질문,챌섭 리프할때 보상 어떻게 하나요?,월드 리프 관련 질문 드립니다
제논,1,36,21,78,14,0,0,14,2,6,직업,0.3888888888888889,0.6462942568411916,5.7285838520871435,제논 5에테,뉴비 제논 진로 방향 알려주실분,선생님들 제논 추옵 어떤가요
마깃안,1,34,11,57,33,0,0,0,1,0,아이템,0.9705882352941176,0.8415140410135761,5.71399752363341,칠흑 상자에서 마깃안 먹었는데 팔까요 쓸까요,스펙업 질문!,샤타 시세질문
선생님들,1,54,35,93,34,1,1,2,2,14,아이템,0.6296296296296297,0.37210924020710345,5.704845682932057,선생님들 헥사환산 몇을 목표로 잡아야할까요?,에테 스타포스 할만한지 아니면 사먹는게 나은지 궁금합니다.,선생님들 이거 어떤 거 선택하면 좋을까요?
깡통,1,54,9,77,45,0,0,1,1,7,아이템,0.8333333333333334,0.6825900432416231,5.70019516078305,깡통 200레벨에서 (노하버) 부스터,세트효과 어떻게 가져가는게 좋을까요,안녕하세요 선생님들 템 진로 고견좀 여쭙습니다
엠블,1,74,11,102,59,1,0,4,3,7,아이템,0.7972972972972973,0.5123013147395059,5.698392632693146,헥환 8만 목표 과금 어느정도 해야할까요?,보마 300억이면 보조 엠블 몇줄가능?,환산 7~8만 목푠데 다음 메소를 어디다 써야 해야할까요?
블랙보조,1,37,8,56,34,0,0,0,0,3,아이템,0.918918918918919,0.886790860081741,5.6937350741811334,코인샵 코인 어디에 쓸까요?,마도서 먹었는데 어쩌죠?,뉴비 보조무기 질문
보마,1,66,22,110,34,0,3,11,0,18,직업,0.16666666666666666,0.3882871032660824,5.664092985250695,보마 카링1페 질문 있습니다,보마 노말 칼로스 템셋 질문,보마 300억이면 보조 엠블 몇줄가능?
노말,1,76,15,119,27,5,15,6,0,23,몬스터,0.19736842105263158,0.4211961175763168,5.654144334105754,메린이 익스우 템세팅 질문,칠흑 보통 얼마정도 하나요?,보마 노말 칼로스 템셋 질문
보상,1,92,19,130,38,3,3,9,0,39,기타,0.42391304347826086,0.3096441489986818,5.635487742882393,플라즈마 하트 스페어 질문,뉴비 아버 템 대체질문,100억으로 템세팅 질문
캐릭터,1,72,11,114,26,0,0,7,0,39,기타,0.5416666666666666,0.4927898369257547,5.589659588466014,동전꼽기가 운영정책 위반인지 여부,챌섭 챌린저 목표 템셋팅 관련 질문입니다.,챌섭에서 리프할때 템
